drink,drink_id,Category,cocktail_pic,Ingredients,Instructions
Thai Iced Coffee,12784,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/rqpypv1441245650.jpg,"black Coffee,  
 Sugar,  pods
 Cream, 
 Cardamom","Prepare a pot of coffee at a good European strength. In the ground coffee, add 2 or 3 freshly ground cardamom pods. Sweeten while hot, then cool quickly. Serve in highball glass over ice, with cream. To get the layered effect, place a spoon atop the coffee and pour the milk carefully into the spoon so that it floats on the top of the coffee."
Thai Iced Tea,12786,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/trvwpu1441245568.jpg,"1/4 cup Thai  Tea,  1/2 cup boiling  Water, 2 tsp sweetened  Condensed milk,  cubes
 Ice,   Mint","Combine Thai tea (i.e., the powder), boiling water, and sweetened condensed milk, stir until blended. Pour into 2 tall glasses filled with ice cubes. Garnish with mint leaves. Makes 2 servings."
The Evil Blue Thing,16271,Cocktail,http://www.thecocktaildb.com/images/media/drink/ojnpz71504793059.jpg,"1 1/2 oz  Creme de Cacao,  1 oz  Blue Curacao, 2 tsp sweetened  Condensed milk","Pour ingredients into glass, and drop in a blue whale! The blue whale isn't really necessary, but it makes the drink more ""fun""."
Thriller,12388,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rvuswq1461867714.jpg,"1 1/2 oz  Scotch,  1 oz Green Ginger  Wine, 1/2 oz  Light rum","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
Tia-Maria,12856,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/sih81u1504367097.jpg,"1 cup  Water,  3/4-1 cup  Brown sugar, 4 tsp  Coffee, 1 cup  Rum, 4 tsp  Vanilla extract","Boil water, sugar and coffe for 10 mins and let cool. Add rum and vanilla. Put in clean bottle(s) and leave for 1 week before using."
Tom Collins,12402,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qystvv1439907682.jpg,"2 oz  Gin,  1 oz  Lemon juice, 1 tsp superfine  Sugar, 3 oz  Club soda, 1  Maraschino cherry, 1  Orange","In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice."
Tomato Tang,12726,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/869qr81487603278.jpg,"2 cups  Tomato juice,  1-2 tblsp  Lemon juice, 1 tsp superfine  Sugar","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
Tommy's Margarita,17216,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/loezxn1504373874.jpg,"4.5 cl Tequila,  1.5 cl Lime Juice, 1 dash  Celery salt",Shake and strain into a chilled cocktail glass.
Turf Cocktail,12418,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/utypqq1441554367.jpg,"1 oz  Dry Vermouth,  1 oz  Gin, 1/4 tsp  Anis, 2 dashes  Bitters, Twist of  Orange peel",Stir all ingredients (except orange peel) with ice and strain into a cocktail glass. Add the twist of orange peel and serve.
Turkeyball,15006,Shot,http://www.thecocktaildb.com/images/media/drink/rxurpr1441554292.jpg,"1 oz  Wild Turkey,  3/4 oz  Amaretto, 1/4 tsp  Anis",Shake with ice and strain into a shot glass.
Tuxedo Cocktail,12420,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/4u0nbl1504352551.jpg,"1 1/2 oz  Dry Vermouth,  1 1/2 oz  Gin, 1/4 tsp  Maraschino liqueur, 1/4 tsp  Anis, 2 dashes  Orange bitters, 1  Cherry",Stir all ingredients with ice and strain into a cocktail glass. Garnish with a cherry and a twist of lemon zest.
Valencia Cocktail,12434,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/9myuc11492975640.jpg,"1 1/2 oz  Apricot brandy,  1 tblsp  Orange juice, 1/4 tsp  Maraschino liqueur","Shake all ingredients with ice, strain into a cocktail glass, and serve."
Vampiro,17217,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yfhn371504374246.jpg,"6 cl Tequila,  3 cl Tomato Juice, 3 cl Orange Juice, 1.5 cl Lime Juice, 1 dash Sugar Syrup, 1 pinch Salt","Vampiros may be made in a tall glass or an old fashioned glass. Bartenders may first ""rim"" the glass with Kosher Salt, which is done by placing a layer of Kosher Salt on a chopping board, moistening the glass' rim with lime juice or water, and then placing the upside down glass rim onto the Kosher Salt, so that the salt sticks to the moistened rim. The second step is to fill half the glass with ice and add one or two shooter glasses full of high quality Tequila. The next stage is to add the flavouring elements. This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez (or orange juice, lime juice and pico de gallo). The final step is to stir the ingredients so that the flavours are properly blended."
